ключ;м2_на_пм;кг_на_пм
194x10;1.10;15.23
410x36;1.75;115.87
314x16;1.05;39.44
384x16;1.12;50.19
324x16;1.00;40.70
344x16;1.08;43.30
двутавр40к2;1.35;176.9
20к;2.7253;
20к1;2.4975;
20к2;2.2022;
20к3;1.9997;
20к4;1.8309;
23к;2.6663;
23к1;2.3203;
23к2;2.1684;
23к3;1.9575;
23к4;1.8478;
26к1;2.2022;
26к2;1.9659;
26к3;1.7634;
26к4;1.62;
26к5;1.485;
30к1;1.8056;
30к2;1.6791;
30к3;1.5441;
30к4;1.4091;
30к5;1.2825;
30к6;1.1897;
30к7;1.08;
30к8;0.9872;
35к1;1.6284;
35к2;1.4597;
35к3;1.3163;
35к4;1.1981;
35к5;1.0969;
35к6;1.0041;
35к7;0.9197;
35к8;0.8438;
40к;1.6791;
40к1;1.4766;
40к2;1.35;
40к3;1.2234;
40к4;1.1053;
40к5;0.9956;
40к6;0.9113;
40к7;0.8269;
40к8;0.7594;
40к9;0.6919;
40к10;0.6581;
40к11;0.5231;
40к12;0.4388;
40к13;0.3713;
40к14;0.3122;
26ш1;2.4131;
30ш1;2.1938;
35ш1;1.9153;
40ш1;1.7212;
50ш1;1.6369;
30ш2;1.9744;
35ш2;1.755;
40ш2;1.5947;
30б1;2.9869;
35б1;2.9025;
40б1;2.5988;
40б2;2.3456;
45б1;2.3203;
50б1;2.0925;
10п;3.7716;
12п;3.6366;
14п;3.51;
16п;3.4172;
18п;3.3159;
20п;3.2316;
22п;3.0881;
24п;2.9531;
27п;2.8013;
30п;2.6494;
33п;2.4975;
36п;2.3372;
40п;2.2022;
200x12;1.08;
250x16;1.04;
280x16;1.03;
300x20;1.02;
360x20;1.06;
400x25;1.15;
# --- листовой прокат (B x t мм): м²/м оценочно по ближайшим опорным строкам; кг/м = 7850*B*t*10^-6 ---
80x8;0.4745;5.02
80x10;0.4853;6.28
80x12;0.4961;7.54
80x14;0.5069;8.79
80x16;0.5176;10.05
80x20;0.5392;12.56
80x22;0.55;13.82
80x25;0.5662;15.7
80x28;0.5824;17.58
80x30;0.5931;18.84
80x32;0.6039;20.1
80x36;0.6255;22.61
80x40;0.6471;25.12
90x8;0.5284;5.65
90x10;0.5392;7.06
90x12;0.55;8.48
90x14;0.5608;9.89
90x16;0.5716;11.3
90x20;0.5931;14.13
90x22;0.6039;15.54
90x25;0.6201;17.66
90x28;0.6363;19.78
90x30;0.6471;21.2
90x32;0.6578;22.61
90x36;0.6794;25.43
90x40;0.701;28.26
100x6;0.5716;4.71
100x8;0.5824;6.28
100x10;0.5931;7.85
100x12;0.6039;9.42
100x14;0.6147;10.99
100x16;0.6255;12.56
100x20;0.6471;15.7
100x22;0.6578;17.27
100x25;0.674;19.62
100x28;0.6902;21.98
100x30;0.701;23.55
100x32;0.7118;25.12
100x36;0.7333;28.26
100x40;0.7549;31.4
110x6;0.6255;5.18
110x8;0.6363;6.91
110x10;0.6471;8.63
110x12;0.6578;10.36
110x14;0.6686;12.09
110x16;0.6794;13.82
110x20;0.701;17.27
110x22;0.7118;19.0
110x25;0.7279;21.59
110x28;0.7441;24.18
110x30;0.7549;25.9
110x32;0.7657;27.63
110x36;0.7873;31.09
110x40;0.8088;34.54
120x6;0.6794;5.65
120x8;0.6902;7.54
120x10;0.701;9.42
120x12;0.7118;11.3
120x14;0.7225;13.19
120x16;0.7333;15.07
120x20;0.7549;18.84
120x22;0.7657;20.72
120x25;0.7819;23.55
120x28;0.798;26.38
120x30;0.8088;28.26
120x32;0.8196;30.14
120x36;0.8412;33.91
120x40;0.8627;37.68
130x6;0.7333;6.12
130x8;0.7441;8.16
130x10;0.7549;10.21
130x12;0.7657;12.25
130x14;0.7765;14.29
130x16;0.7873;16.33
130x20;0.8088;20.41
130x22;0.8196;22.45
130x25;0.8358;25.51
130x28;0.852;28.57
130x30;0.8627;30.61
130x32;0.8735;32.66
130x36;0.8951;36.74
130x40;0.9167;40.82
140x6;0.7873;6.59
140x8;0.798;8.79
140x10;0.8088;10.99
140x12;0.8196;13.19
140x14;0.8304;15.39
140x16;0.8412;17.58
140x20;0.8627;21.98
140x22;0.8735;24.18
140x25;0.8897;27.47
140x28;0.9059;30.77
140x30;0.9167;32.97
140x32;0.9275;35.17
140x36;0.949;39.56
140x40;0.9706;43.96
150x6;0.8412;7.06
150x8;0.852;9.42
150x10;0.8627;11.78
150x12;0.8735;14.13
150x14;0.8843;16.48
150x16;0.8951;18.84
150x20;0.9167;23.55
150x22;0.9275;25.9
150x25;0.9436;29.44
150x28;0.9598;32.97
150x30;0.9706;35.32
150x32;0.9814;37.68
150x36;1.0029;42.39
150x40;1.0245;47.1
160x6;0.8951;7.54
160x8;0.9059;10.05
160x10;0.9167;12.56
160x12;0.9275;15.07
160x14;0.9382;17.58
160x16;0.949;20.1
160x20;0.9706;25.12
160x22;0.9814;27.63
160x25;0.9975;31.4
160x28;1.0137;35.17
160x30;1.0245;37.68
160x32;1.0353;40.19
160x36;1.0569;45.22
160x40;1.0784;50.24
170x6;0.949;8.01
170x8;0.9598;10.68
170x10;0.9706;13.34
170x12;0.9814;16.01
170x14;0.9922;18.68
170x16;1.0029;21.35
170x20;1.0245;26.69
170x22;1.0353;29.36
170x25;1.0515;33.36
170x28;1.0676;37.37
170x30;1.0784;40.03
170x32;1.0892;42.7
170x36;1.1108;48.04
170x40;1.1324;53.38
180x6;1.0029;8.48
180x8;1.0137;11.3
180x10;1.0245;14.13
180x12;1.0353;16.96
180x14;1.0461;19.78
180x16;1.0569;22.61
180x20;1.0784;28.26
180x22;1.0892;31.09
180x25;1.1054;35.32
180x28;1.1216;39.56
180x30;1.1324;42.39
180x32;1.1431;45.22
180x36;1.1647;50.87
180x40;1.1863;56.52
190x6;1.0569;8.95
190x8;1.0676;11.93
190x10;1.0784;14.91
190x12;1.0892;17.9
190x14;1.1;20.88
190x16;1.1108;23.86
190x20;1.1324;29.83
190x22;1.1431;32.81
190x25;1.1593;37.29
190x28;1.1755;41.76
190x30;1.1863;44.74
190x32;1.1971;47.73
190x36;1.2186;53.69
190x40;1.2402;59.66
200x6;1.0494;9.42
200x8;1.0596;12.56
200x10;1.0698;15.7
200x14;1.0902;21.98
200x16;1.1004;25.12
200x20;1.1208;31.4
200x22;1.1309;34.54
200x25;1.1462;39.25
200x28;1.1615;43.96
200x30;1.1717;47.1
200x32;1.1819;50.24
200x36;1.2023;56.52
200x40;1.2226;62.8
210x6;1.1004;9.89
210x8;1.1106;13.19
210x10;1.1208;16.48
210x12;1.1309;19.78
210x14;1.1411;23.08
210x16;1.1513;26.38
210x20;1.1717;32.97
210x22;1.1819;36.27
210x25;1.1972;41.21
210x28;1.2125;46.16
210x30;1.2226;49.45
210x32;1.2328;52.75
210x36;1.2532;59.35
210x40;1.2736;65.94
220x6;1.1513;10.36
220x8;1.1615;13.82
220x10;1.1717;17.27
220x12;1.1819;20.72
220x14;1.1921;24.18
220x16;1.2023;27.63
220x20;1.2226;34.54
220x22;1.2328;37.99
220x25;1.2481;43.17
220x28;1.2634;48.36
220x30;1.2736;51.81
220x32;1.2838;55.26
220x36;1.3042;62.17
220x40;1.3245;69.08
230x6;0.9227;10.83
230x8;0.9305;14.44
230x10;0.9383;18.05
230x12;0.9462;21.67
230x14;0.954;25.28
230x16;0.9618;28.89
230x20;0.9774;36.11
230x22;0.9853;39.72
230x25;0.997;45.14
230x28;1.0087;50.55
230x30;1.0165;54.16
230x32;1.0244;57.78
230x36;1.04;65.0
230x40;1.0556;72.22
240x6;0.9618;11.3
240x8;0.9696;15.07
240x10;0.9774;18.84
240x12;0.9853;22.61
240x14;0.9931;26.38
240x16;1.0009;30.14
240x20;1.0165;37.68
240x22;1.0244;41.45
240x25;1.0361;47.1
240x28;1.0478;52.75
240x30;1.0556;56.52
240x32;1.0635;60.29
240x36;1.0791;67.82
240x40;1.0947;75.36
250x6;1.0009;11.78
250x8;1.0087;15.7
250x10;1.0165;19.62
250x12;1.0244;23.55
250x14;1.0322;27.47
250x20;1.0556;39.25
250x22;1.0635;43.17
250x25;1.0752;49.06
250x28;1.0869;54.95
250x30;1.0947;58.88
250x32;1.1026;62.8
250x36;1.1182;70.65
250x40;1.1338;78.5
260x6;1.04;12.25
260x8;1.0478;16.33
260x10;1.0556;20.41
260x12;1.0635;24.49
260x14;1.0713;28.57
260x16;1.0791;32.66
260x20;1.0947;40.82
260x22;1.1026;44.9
260x25;1.1143;51.02
260x28;1.126;57.15
260x30;1.1338;61.23
260x32;1.1417;65.31
260x36;1.1573;73.48
260x40;1.1729;81.64
270x6;0.9604;12.72
270x8;0.9674;16.96
270x10;0.9743;21.2
270x12;0.9813;25.43
270x14;0.9882;29.67
270x16;0.9952;33.91
270x20;1.0091;42.39
270x22;1.0161;46.63
270x25;1.0265;52.99
270x28;1.037;59.35
270x30;1.0439;63.58
270x32;1.0509;67.82
270x36;1.0648;76.3
270x40;1.0787;84.78
280x6;0.9952;13.19
280x8;1.0022;17.58
280x10;1.0091;21.98
280x12;1.0161;26.38
280x14;1.023;30.77
280x20;1.0439;43.96
280x22;1.0509;48.36
280x25;1.0613;54.95
280x28;1.0718;61.54
280x30;1.0787;65.94
280x32;1.0857;70.34
280x36;1.0996;79.13
280x40;1.1135;87.92
290x6;1.03;13.66
290x8;1.037;18.21
290x10;1.0439;22.77
290x12;1.0509;27.32
290x14;1.0578;31.87
290x16;1.0648;36.42
290x20;0.9881;45.53
290x22;0.9945;50.08
290x25;1.0041;56.91
290x28;1.0136;63.74
290x30;1.02;68.3
290x32;1.0264;72.85
290x36;1.0391;81.95
290x40;1.0519;91.06
300x6;0.9754;14.13
300x8;0.9818;18.84
300x10;0.9881;23.55
300x12;0.9945;28.26
300x14;1.0009;32.97
300x16;1.0072;37.68
300x22;1.0264;51.81
300x25;1.0359;58.88
300x28;1.0455;65.94
300x30;1.0519;70.65
300x32;1.0582;75.36
300x36;1.071;84.78
300x40;1.0837;94.2
310x6;1.0055;14.6
310x8;1.0118;19.47
310x10;1.0182;24.33
310x12;1.0245;29.2
310x14;1.0309;34.07
310x16;1.0373;38.94
310x20;1.05;48.67
310x22;1.0564;53.54
310x25;1.0659;60.84
310x28;1.0755;68.14
310x30;1.0818;73.0
310x32;1.0882;77.87
310x36;1.1009;87.61
310x40;1.1136;97.34
320x6;0.9588;15.07
320x8;0.9647;20.1
320x10;0.9706;25.12
320x12;0.9765;30.14
320x14;0.9824;35.17
320x16;0.9882;40.19
320x20;1.0;50.24
320x22;1.0059;55.26
320x25;1.0147;62.8
320x28;1.0235;70.34
320x30;1.0294;75.36
320x32;1.0353;80.38
320x36;1.0471;90.43
320x40;1.0588;100.48
330x6;0.9882;15.54
330x8;0.9941;20.72
330x10;1.0;25.9
330x12;1.0059;31.09
330x14;1.0118;36.27
330x16;1.0176;41.45
330x20;1.0294;51.81
330x22;1.0353;56.99
330x25;1.0441;64.76
330x28;1.0529;72.53
330x30;1.0588;77.72
330x32;1.0647;82.9
330x36;1.0765;93.26
330x40;1.0882;103.62
340x6;1.038;16.01
340x8;1.044;21.35
340x10;1.05;26.69
340x12;1.056;32.03
340x14;1.062;37.37
340x16;1.068;42.7
340x20;1.08;53.38
340x22;1.086;58.72
340x25;1.095;66.72
340x28;1.104;74.73
340x30;1.11;80.07
340x32;1.116;85.41
340x36;1.128;96.08
340x40;1.14;106.76
350x6;1.068;16.48
350x8;1.074;21.98
350x10;1.08;27.47
350x12;1.086;32.97
350x14;1.092;38.46
350x16;1.098;43.96
350x20;1.11;54.95
350x22;1.116;60.45
350x25;1.125;68.69
350x28;1.134;76.93
350x30;1.14;82.42
350x32;1.146;87.92
350x36;1.158;98.91
350x40;1.17;109.9
360x6;1.0209;16.96
360x8;1.0265;22.61
360x10;1.0321;28.26
360x12;1.0377;33.91
360x14;1.0433;39.56
360x16;1.0488;45.22
360x22;1.0656;62.17
360x25;1.0739;70.65
360x28;1.0823;79.13
360x30;1.0879;84.78
360x32;1.0935;90.43
360x36;1.1046;101.74
360x40;1.1158;113.04
370x6;1.0528;17.43
370x8;1.0584;23.24
370x10;1.064;29.04
370x12;1.0696;34.85
370x14;1.0752;40.66
370x16;1.0808;46.47
370x20;1.0879;58.09
370x22;1.0935;63.9
370x25;1.1018;72.61
370x28;1.1102;81.33
370x30;1.1158;87.13
370x32;1.1214;92.94
370x36;1.1325;104.56
370x40;1.1437;116.18
380x6;1.0808;17.9
380x8;1.0864;23.86
380x10;1.092;29.83
380x12;1.0976;35.8
380x14;1.1032;41.76
380x16;1.1088;47.73
380x20;1.12;59.66
380x22;1.1256;65.63
380x25;1.134;74.58
380x28;1.1424;83.52
380x30;1.148;89.49
380x32;1.1536;95.46
380x36;1.1648;107.39
380x40;1.176;119.32
390x6;1.1088;18.37
390x8;1.1144;24.49
390x10;1.12;30.61
390x12;1.1256;36.74
390x14;1.1312;42.86
390x16;1.1368;48.98
390x20;1.148;61.23
390x22;1.1536;67.35
390x25;1.1229;76.54
390x28;1.1311;85.72
390x30;1.1365;91.84
390x32;1.1419;97.97
390x36;1.6715;110.21
390x40;1.6872;122.46
400x6;1.0986;18.84
400x8;1.104;25.12
400x10;1.1094;31.4
400x12;1.1148;37.68
400x14;1.1202;43.96
400x16;1.1256;50.24
400x20;1.1365;62.8
400x22;1.1419;69.08
400x28;1.1581;87.92
400x30;1.1635;94.2
400x32;1.1689;100.48
400x36;1.7108;113.04
400x40;1.7265;125.6
410x6;1.1256;19.31
410x8;1.1311;25.75
410x10;1.1365;32.18
410x12;1.1419;38.62
410x14;1.1473;45.06
410x16;1.1527;51.5
410x20;1.1635;64.37
410x22;1.1689;70.81
410x25;1.1771;80.46
410x28;1.7186;90.12
410x30;1.7265;96.55
410x32;1.7343;102.99
410x40;1.7657;128.74
420x6;1.1527;19.78
420x8;1.1581;26.38
420x10;1.1635;32.97
420x12;1.1689;39.56
420x14;1.1744;46.16
420x16;1.1798;52.75
420x20;1.1906;65.94
420x22;1.196;72.53
420x25;1.2041;82.42
420x28;1.7578;92.32
420x30;1.7657;98.91
420x32;1.7735;105.5
420x36;1.7892;118.69
420x40;1.8049;131.88
430x6;1.1798;20.25
430x8;1.1852;27.0
430x10;1.1906;33.75
430x12;1.196;40.51
430x14;1.2014;47.26
430x16;1.2068;54.01
430x20;1.2176;67.51
430x22;1.2231;74.26
430x25;1.2312;84.39
430x28;1.7971;94.51
430x30;1.8049;101.27
430x32;1.8128;108.02
430x36;1.8285;121.52
430x40;1.8442;135.02
440x6;1.2068;20.72
440x8;1.2122;27.63
440x10;1.2176;34.54
440x12;1.2231;41.45
440x14;1.2285;48.36
440x16;1.2339;55.26
440x20;1.2447;69.08
440x22;1.2501;75.99
440x25;1.2582;86.35
440x28;1.8363;96.71
440x30;1.8442;103.62
440x32;1.852;110.53
440x36;1.8677;124.34
440x40;1.8834;138.16
450x6;1.2339;21.2
450x8;1.2393;28.26
450x10;1.2447;35.32
450x12;1.2501;42.39
450x14;1.2555;49.45
450x16;1.2609;56.52
450x20;1.2718;70.65
450x22;1.2772;77.72
450x25;1.2853;88.31
450x28;1.8756;98.91
450x30;1.8834;105.97
450x32;1.8913;113.04
450x36;1.907;127.17
450x40;1.9226;141.3
460x6;1.2609;21.67
460x8;1.2664;28.89
460x10;1.2718;36.11
460x12;1.2772;43.33
460x14;1.2826;50.55
460x16;1.288;57.78
460x20;1.2988;72.22
460x22;1.3042;79.44
460x25;1.3124;90.27
460x28;1.9148;101.11
460x30;1.9226;108.33
460x32;1.9305;115.55
460x36;1.9462;130.0
460x40;1.9619;144.44
470x6;1.288;22.14
470x8;1.2934;29.52
470x10;1.2988;36.89
470x12;1.3042;44.27
470x14;1.3096;51.65
470x16;1.3151;59.03
470x20;1.3259;73.79
470x22;1.3313;81.17
470x25;1.3394;92.24
470x28;1.954;103.31
470x30;1.9619;110.68
470x32;1.9697;118.06
470x36;1.9854;132.82
470x40;2.0011;147.58
480x6;1.3151;22.61
480x8;1.3205;30.14
480x10;1.3259;37.68
480x12;1.3313;45.22
480x14;1.3367;52.75
480x16;1.3421;60.29
480x20;1.3529;75.36
480x22;1.3584;82.9
480x25;1.3665;94.2
480x28;1.9933;105.5
480x30;2.0011;113.04
480x32;2.009;120.58
480x36;2.0247;135.65
480x40;2.0404;150.72
490x6;1.3421;23.08
490x8;1.3475;30.77
490x10;1.3529;38.46
490x12;1.3584;46.16
490x14;1.3638;53.85
490x16;1.3692;61.54
490x20;1.38;76.93
490x22;1.3854;84.62
490x25;1.3935;96.16
490x28;2.0325;107.7
490x30;2.0404;115.39
490x32;2.0482;123.09
490x36;2.0639;138.47
490x40;2.0796;153.86
500x6;1.3692;23.55
500x8;1.3746;31.4
500x10;1.38;39.25
500x12;1.3854;47.1
500x14;1.3908;54.95
500x16;1.3962;62.8
500x20;1.4071;78.5
500x22;1.4125;86.35
500x25;1.4206;98.12
500x28;2.0717;109.9
500x30;2.0796;117.75
500x32;2.0874;125.6
500x36;2.1031;141.3
500x40;2.1188;157.0
510x6;1.3962;24.02
510x8;1.4016;32.03
510x10;1.4071;40.03
510x12;1.4125;48.04
510x14;1.4179;56.05
510x16;1.4233;64.06
510x20;1.4341;80.07
510x22;1.4395;88.08
510x25;1.4476;100.09
510x28;2.111;112.1
510x30;2.1188;120.1
510x32;2.1267;128.11
510x36;2.1424;144.13
510x40;2.1581;160.14
520x6;1.4233;24.49
